filename,gen_1,gen_2,gen_3,gen_4,gen_5,gen_6,gen_7,gen_8,gen_9,gen_10,gen_11,gen_12,gen_13,gen_14,gen_15,gen_16,gen_17,gen_18,gen_19,gen_20,gen_21,gen_22,gen_23,gen_24,gen_25,gen_26,gen_27,gen_28,gen_29,gen_30,gen_31,gen_32,gen_33,gen_34,gen_35,gen_36,gen_37,gen_38,gen_39,gen_40,gen_41
92977862_new_mexico_precincts_to_42_with_5000_sims,991,991,991,991,991,990,990,990,990,990,990,990,990,990,990,814,814,814,814,795,795,795,795,724,438,438,438,438,438,438,438,438,438,305,305,302,302,302,302,154,29
83558400_new_mexico_precincts_to_42_with_5000_sims,1859,1859,1859,1859,1859,1859,1829,1829,1829,1829,1829,1829,1829,1829,1829,1829,1829,1793,1778,1778,1778,1778,1778,1776,1759,1759,1759,1759,1008,1008,1008,1008,715,672,382,247,161,134,118,56,16
25103680_new_mexico_precincts_to_42_with_5000_sims,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,1986,1911,1911,1911,1911,1712,1712,867,800,800,546,499,379,379,302,302,302,86,13
37982250_new_mexico_precincts_to_42_with_5000_sims,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1339,889,591,588,588,588,496,496,349,349,302,214,145,135,62,18
87761091_new_mexico_precincts_to_42_with_5000_sims,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,801,801,801,801,801,801,801,801,801,801,801,801,491,491,491,451,451,451,451,451,298,292,292,222,131,59,18
70928932_new_mexico_precincts_to_42_with_5000_sims,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,758,758,758,758,758,758,713,713,713,713,602,595,517,517,327,327,327,205,146,121,63,17
3066787_new_mexico_precincts_to_42_with_5000_sims,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,520,520,520,415,415,415,254,194,129,88,67,15
4143200_new_mexico_precincts_to_42_with_5000_sims,2149,2149,2149,2149,2149,2149,2149,2138,2138,2138,2138,2138,2138,2138,2138,2138,2138,2138,2138,2138,2138,2138,2138,2138,2138,2137,2137,2088,2088,2088,1906,1906,1906,1410,1392,931,341,201,118,39,19
94375181_new_mexico_precincts_to_42_with_5000_sims,2564,2564,2564,2564,2564,2564,2564,2564,2564,2564,2564,2564,2564,2564,2564,2564,2564,2564,2564,2564,2564,2564,2564,2564,2564,2376,1649,850,696,683,683,678,629,628,628,628,384,206,90,42,22
54195676_new_mexico_precincts_to_42_with_5000_sims,3053,3053,3053,3053,3053,3053,3053,3053,3053,3053,3053,3053,3053,3053,2574,1526,1526,1526,1526,1421,1421,1421,1411,743,743,719,719,574,488,488,488,400,400,400,218,215,118,118,74,62,18
89995520_new_mexico_precincts_to_42_with_5000_sims,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1582,1559,1488,1345,1237,1225,1125,1078,1078,968,527,202,109,56,17
90367223_new_mexico_precincts_to_42_with_5000_sims,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2414,2414,1758,1758,1758,1758,1712,1712,1712,1712,1712,1712,1712,1712,1659,1013,990,683,683,683,650,612,612,575,575,279,247,230,97,42,18
63748341_new_mexico_precincts_to_42_with_5000_sims,923,923,923,923,923,923,923,923,923,923,923,923,923,923,923,923,923,923,814,814,703,703,703,693,693,693,693,693,693,575,481,481,481,481,281,281,275,166,84,59,14
62042131_new_mexico_precincts_to_42_with_5000_sims,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,870,870,870,870,870,652,652,652,541,541,502,331,299,273,269,189,148,59,17
91472960_new_mexico_precincts_to_42_with_5000_sims,1601,1601,1601,1601,1601,1601,1601,1601,1601,1601,1601,1601,1601,1601,1601,1601,1601,1601,1580,1580,1580,1580,1546,1514,1508,1423,1421,1420,1420,1030,1030,1030,831,806,584,584,306,218,149,135,17
5213848_new_mexico_precincts_to_42_with_5000_sims,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1382,1202,904,753,753,512,432,371,371,307,181,94,19
43392536_new_mexico_precincts_to_42_with_5000_sims,2192,2192,2192,2192,2192,2192,2192,2192,2192,2192,2192,2192,2192,2192,2192,2192,2192,2192,2190,2165,2157,2157,2157,2157,2157,1192,1192,1128,1099,1099,1099,706,675,675,662,662,473,250,152,49,16
13881076_new_mexico_precincts_to_42_with_5000_sims,2685,2685,2685,2685,2685,2685,2685,2685,2685,2685,2685,2685,2685,2685,2685,2685,2685,2685,2685,2685,2685,2685,2685,2685,2685,2685,2518,2518,2129,966,966,812,756,565,303,303,129,101,85,63,16
65906800_new_mexico_precincts_to_42_with_5000_sims,1143,1143,1143,1143,1143,1143,1143,1143,1143,1143,1143,1107,1107,1107,1107,1107,1107,1107,1025,1025,1025,1025,1025,1008,1000,923,923,923,923,923,923,923,923,923,923,868,503,209,100,59,17
28803356_new_mexico_precincts_to_42_with_5000_sims,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1299,1125,798,575,575,416,387,237,237,120,96,56,23
37210543_new_mexico_precincts_to_42_with_5000_sims,3118,3118,3118,3118,3118,3118,3118,3118,3118,3118,3118,3118,3118,2967,2967,2967,2967,2967,2967,2967,2967,2967,2967,2967,2967,2967,2967,2201,2194,2194,2060,1899,1732,1664,1664,588,544,544,544,128,19
