filename,gen_1,gen_2,gen_3,gen_4,gen_5,gen_6,gen_7,gen_8,gen_9,gen_10,gen_11,gen_12,gen_13,gen_14,gen_15,gen_16,gen_17,gen_18,gen_19,gen_20,gen_21,gen_22,gen_23,gen_24,gen_25,gen_26,gen_27,gen_28,gen_29,gen_30,gen_31,gen_32,gen_33,gen_34,gen_35,gen_36,gen_37,gen_38,gen_39,gen_40,gen_41,gen_42,gen_43,gen_44,gen_45,gen_46,gen_47,gen_48,gen_49,gen_50,gen_51,gen_52,gen_53,gen_54,gen_55,gen_56,gen_57,gen_58,gen_59,gen_60,gen_61,gen_62
7726593_ny_vtd_to_63_with_5000_sims,4879,4879,4879,4879,4879,4879,4879,4879,4879,4879,4879,4879,4879,4879,4879,4879,4879,4879,4879,4878,4298,4298,3979,3979,3979,3699,3699,3699,3699,3699,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2621,2180,2180,735,708,341,341,341,248,236,94,34
643712_ny_vtd_to_63_with_5000_sims,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3703,3461,3461,3456,3159,3159,2592,2592,2592,2592,2592,2592,2592,2139,1061,1040,1040,1040,1040,677,630,630,352,218,23
45333770_ny_vtd_to_63_with_5000_sims,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2010,2010,2010,1995,1995,1124,1124,871,533,533,433,433,170,36
39878929_ny_vtd_to_63_with_5000_sims,2492,2492,2492,2492,2492,2492,2492,2492,2492,2492,2492,2492,2492,2492,2492,2492,2492,2492,2492,2492,2492,2492,2492,2492,2492,2492,2492,2492,2492,2492,2492,2492,2492,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,1932,1932,1303,1037,918,629,629,419,266,224,90,52
64450458_ny_vtd_to_63_with_5000_sims,3848,3848,3848,3848,3848,3848,3848,3848,3848,3848,3848,3848,3848,3848,3848,3848,3848,3848,3848,3848,3848,3848,3848,3848,3848,3848,3848,3848,3848,3848,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3792,3287,2879,1991,1991,1991,1339,1031,1031,1031,1016,996,900,871,470,401,141,22
60308744_ny_vtd_to_63_with_5000_sims,2136,2136,2136,2136,2136,2136,2136,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,1561,1534,1534,1184,1184,1184,1184,1184,1184,1184,770,309,214,210,210,210,138,52,32
18115366_ny_vtd_to_63_with_5000_sims,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1533,1533,1533,1533,1533,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1270,1192,1192,1192,1004,653,468,398,346,346,168,168,129,70,49
54119307_ny_vtd_to_63_with_5000_sims,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,1131,469,198,31
6119547_ny_vtd_to_63_with_5000_sims,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,1642,806,494,372,280,218,218,124,124
15800000_ny_vtd_to_63_with_5000_sims,4285,4285,4285,4285,4285,4285,4285,4285,4285,4285,4285,4285,4285,4285,4285,4285,4285,4285,4285,4285,4285,4285,4285,4285,4285,4284,4284,4284,4284,4284,4284,4284,4284,4284,4284,4284,4284,4284,4284,4284,4284,4278,2500,2161,2161,1749,1749,1749,1749,1379,1048,928,928,928,523,380,280,280,280,226,147,54
