filename,progenitor_descendents_count,mean_descendents,max_descendents
1000_ca_results/97968836_CA_cd_2020_map_to_52_with_5000_sims.csv,"(11, 122, 4, 2, 34, 2033, 2074, 388, 66, 196, 48, 6, 16)",384.61538461538464,2074
1000_ca_results/9797330_CA_cd_2020_map_to_52_with_5000_sims.csv,"(170, 1, 8, 4495, 65, 7, 243, 10, 1)",555.5555555555555,4495
1000_ca_results/98108666_CA_cd_2020_map_to_52_with_5000_sims.csv,"(66, 1, 36, 732, 4, 7, 70, 3, 3199, 729, 69, 4, 42, 8, 30)",333.3333333333333,3199
1000_ca_results/9812432_CA_cd_2020_map_to_52_with_5000_sims.csv,"(23, 107, 2, 19, 4844, 5)",833.3333333333334,4844
1000_ca_results/98327424_CA_cd_2020_map_to_52_with_5000_sims.csv,"(731, 3, 8, 21, 3, 258, 130, 17, 6, 492, 70, 7, 282, 54, 58, 1, 11, 2, 22, 25, 2797, 2)",227.27272727272728,2797
1000_ca_results/9839333_CA_cd_2020_map_to_52_with_5000_sims.csv,"(72, 75, 1, 16, 1, 65, 88, 30, 16, 906, 78, 10, 1, 3, 2, 133, 45, 1, 312, 3, 2017, 335, 307, 6, 1, 476)",192.30769230769232,2017
1000_ca_results/98596733_CA_cd_2020_map_to_52_with_5000_sims.csv,"(18, 107, 278, 29, 11, 4415, 51, 9, 41, 40, 1)",454.54545454545456,4415
1000_ca_results/98678420_CA_cd_2020_map_to_52_with_5000_sims.csv,"(21, 1, 43, 426, 9, 9, 3, 254, 34, 57, 25, 87, 4, 3, 51, 3973)",312.5,3973
1000_ca_results/98923734_CA_cd_2020_map_to_52_with_5000_sims.csv,"(1, 108, 57, 1106, 146, 4, 210, 51, 2922, 395)",500.0,2922
1000_ca_results/98939096_CA_cd_2020_map_to_52_with_5000_sims.csv,"(491, 304, 994, 287, 11, 15, 22, 189, 1165, 53, 908, 561)",416.6666666666667,1165
1000_ca_results/98972888_CA_cd_2020_map_to_52_with_5000_sims.csv,"(4, 1, 552, 2516, 92, 131, 696, 297, 1, 710)",500.0,2516
1000_ca_results/9905406_CA_cd_2020_map_to_52_with_5000_sims.csv,"(1, 28, 2, 1, 4723, 1, 1, 4, 5, 234)",500.0,4723
1000_ca_results/99271715_CA_cd_2020_map_to_52_with_5000_sims.csv,"(4546, 190, 24, 73, 9, 1, 3, 42, 24, 7, 3, 4, 41, 1, 32)",333.3333333333333,4546
1000_ca_results/99286482_CA_cd_2020_map_to_52_with_5000_sims.csv,"(15, 178, 1732, 873, 152, 50, 456, 41, 220, 1, 1103, 19, 1, 3, 30, 3, 46, 77)",277.77777777777777,1732
1000_ca_results/99291045_CA_cd_2020_map_to_52_with_5000_sims.csv,"(2054, 32, 1, 2520, 4, 370, 17, 2)",625.0,2520
1000_ca_results/99292676_CA_cd_2020_map_to_52_with_5000_sims.csv,"(138, 108, 2, 5, 3, 3, 126, 183, 157, 24, 157, 9, 24, 3, 90, 58, 3, 97, 6, 23, 15, 3715, 51)",217.3913043478261,3715
1000_ca_results/99494762_CA_cd_2020_map_to_52_with_5000_sims.csv,"(141, 295, 3, 37, 43, 1034, 29, 209, 1402, 1807)",500.0,1807
1000_ca_results/99542840_CA_cd_2020_map_to_52_with_5000_sims.csv,"(6, 172, 13, 35, 133, 452, 3593, 5, 28, 2, 218, 1, 32, 14, 149, 88, 59)",294.11764705882354,3593
1000_ca_results/99544214_CA_cd_2020_map_to_52_with_5000_sims.csv,"(677, 163, 1, 201, 6, 3, 4, 10, 30, 1, 3903, 1)",416.6666666666667,3903
1000_ca_results/99684520_CA_cd_2020_map_to_52_with_5000_sims.csv,"(3, 2783, 57, 6, 42, 9, 1, 105, 1989, 5)",500.0,2783
1000_ca_results/99918696_CA_cd_2020_map_to_52_with_5000_sims.csv,"(12, 72, 161, 103, 2, 383, 13, 1, 57, 243, 645, 3029, 6, 273)",357.14285714285717,3029
1000_ca_results/10016325_CA_cd_2020_map_to_52_with_5000_sims.csv,"(15, 1, 3, 6, 2, 129, 1, 4777, 1, 21, 44)",454.54545454545456,4777
1000_ca_results/10100224_CA_cd_2020_map_to_52_with_5000_sims.csv,"(134, 23, 4, 10, 23, 81, 1, 12, 10, 3, 146, 25, 442, 209, 1595, 19, 63, 2200)",277.77777777777777,2200
1000_ca_results/10171597_CA_cd_2020_map_to_52_with_5000_sims.csv,"(5, 2, 668, 8, 1, 344, 3, 5, 3844, 120)",500.0,3844
1000_ca_results/10248600_CA_cd_2020_map_to_52_with_5000_sims.csv,"(320, 29, 17, 15, 2168, 3, 319, 1123, 1006)",555.5555555555555,2168
1000_ca_results/1028160_CA_cd_2020_map_to_52_with_5000_sims.csv,"(84, 865, 8, 22, 396, 29, 1876, 4, 609, 35, 3, 78, 983, 8)",357.14285714285717,1876
1000_ca_results/10339872_CA_cd_2020_map_to_52_with_5000_sims.csv,"(3, 5, 3, 407, 25, 758, 53, 18, 888, 687, 1986, 2, 165)",384.61538461538464,1986
1000_ca_results/10426200_CA_cd_2020_map_to_52_with_5000_sims.csv,"(53, 234, 25, 221, 25, 4320, 13, 4, 10, 39, 6, 22, 1, 6, 3, 16, 2)",294.11764705882354,4320
1000_ca_results/10524174_CA_cd_2020_map_to_52_with_5000_sims.csv,"(2, 244, 23, 10, 1, 1, 3355, 152, 782, 2, 206, 28, 64, 7, 8, 107, 2, 6)",277.77777777777777,3355
1000_ca_results/10655075_CA_cd_2020_map_to_52_with_5000_sims.csv,"(1, 1, 4904, 2, 4, 45, 2, 41)",625.0,4904
1000_ca_results/10760493_CA_cd_2020_map_to_52_with_5000_sims.csv,"(3, 4877, 69, 12, 18, 21)",833.3333333333334,4877
1000_ca_results/10918010_CA_cd_2020_map_to_52_with_5000_sims.csv,"(7, 3, 3, 4968, 19)",1000.0,4968
1000_ca_results/11105124_CA_cd_2020_map_to_52_with_5000_sims.csv,"(52, 17, 128, 84, 1, 2432, 78, 212, 28, 137, 242, 1537, 28, 13, 11)",333.3333333333333,2432
1000_ca_results/114032_CA_cd_2020_map_to_52_with_5000_sims.csv,"(228, 3875, 18, 11, 3, 117, 7, 583, 158)",555.5555555555555,3875
1000_ca_results/11589085_CA_cd_2020_map_to_52_with_5000_sims.csv,"(203, 139, 27, 1, 2, 80, 3, 77, 3714, 5, 615, 29, 105)",384.61538461538464,3714
1000_ca_results/11619930_CA_cd_2020_map_to_52_with_5000_sims.csv,"(231, 904, 16, 1, 6, 1, 40, 221, 17, 8, 7, 1911, 10, 1618, 9)",333.3333333333333,1911
1000_ca_results/11637852_CA_cd_2020_map_to_52_with_5000_sims.csv,"(4528, 164, 16, 81, 1, 8, 14, 63, 13, 3, 55, 4, 50)",384.61538461538464,4528
1000_ca_results/11655179_CA_cd_2020_map_to_52_with_5000_sims.csv,"(4, 7, 12, 220, 12, 136, 44, 223, 3, 292, 4047)",454.54545454545456,4047
1000_ca_results/11674232_CA_cd_2020_map_to_52_with_5000_sims.csv,"(6, 5, 2400, 31, 1019, 22, 168, 1073, 3, 273)",500.0,2400
1000_ca_results/11688180_CA_cd_2020_map_to_52_with_5000_sims.csv,"(40, 20, 8, 1, 1328, 612, 16, 2936, 8, 22, 9)",454.54545454545456,2936
1000_ca_results/11740672_CA_cd_2020_map_to_52_with_5000_sims.csv,"(87, 1, 1, 227, 1, 8, 33, 4642)",625.0,4642
1000_ca_results/11853384_CA_cd_2020_map_to_52_with_5000_sims.csv,"(1061, 7, 1, 71, 1262, 9, 7, 90, 1836, 224, 430, 2)",416.6666666666667,1836
1000_ca_results/11864076_CA_cd_2020_map_to_52_with_5000_sims.csv,"(524, 23, 4355, 2, 6, 14, 7, 69)",625.0,4355
1000_ca_results/11986504_CA_cd_2020_map_to_52_with_5000_sims.csv,"(57, 3051, 10, 27, 1041, 85, 1, 1, 9, 1, 77, 447, 38, 119, 33, 3)",312.5,3051
1000_ca_results/12001561_CA_cd_2020_map_to_52_with_5000_sims.csv,"(1, 3, 3197, 1, 52, 757, 72, 1, 14, 585, 216, 101)",416.6666666666667,3197
1000_ca_results/12029526_CA_cd_2020_map_to_52_with_5000_sims.csv,"(104, 32, 10, 4799, 3, 5, 38, 9)",625.0,4799
1000_ca_results/12103014_CA_cd_2020_map_to_52_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_ca_results/12327900_CA_cd_2020_map_to_52_with_5000_sims.csv,"(1, 475, 19, 10, 3, 58, 176, 122, 21, 2195, 1, 2, 1316, 1, 3, 4, 518, 1, 61, 13)",250.0,2195
1000_ca_results/12383652_CA_cd_2020_map_to_52_with_5000_sims.csv,"(3, 43, 499, 2, 4311, 41, 95, 6)",625.0,4311
1000_ca_results/12441450_CA_cd_2020_map_to_52_with_5000_sims.csv,"(29, 1889, 1803, 2, 16, 52, 134, 113, 540, 190, 230, 2)",416.6666666666667,1889
1000_ca_results/12580624_CA_cd_2020_map_to_52_with_5000_sims.csv,"(1, 158, 92, 2, 2, 956, 24, 1, 197, 203, 4, 143, 32, 1, 1283, 1895, 5, 1)",277.77777777777777,1895
1000_ca_results/806288_CA_cd_2020_map_to_52_with_5000_sims.csv,"(2, 1, 4343, 36, 1, 9, 33, 572, 3)",555.5555555555555,4343
1000_ca_results/81799792_CA_cd_2020_map_to_52_with_5000_sims.csv,"(7, 8, 13, 57, 2, 809, 3538, 3, 93, 6, 11, 102, 119, 28, 68, 3, 58, 15, 60)",263.1578947368421,3538
1000_ca_results/83496765_CA_cd_2020_map_to_52_with_5000_sims.csv,"(179, 41, 1, 1161, 2553, 38, 10, 175, 842)",555.5555555555555,2553
1000_ca_results/84145806_CA_cd_2020_map_to_52_with_5000_sims.csv,"(11, 68, 55, 1, 68, 2681, 3, 373, 1684, 56)",500.0,2681
1000_ca_results/8483720_CA_cd_2020_map_to_52_with_5000_sims.csv,"(1053, 1, 1, 3, 29, 4, 26, 3782, 1, 3, 27, 3, 8, 52, 1, 6)",312.5,3782
1000_ca_results/8650058_CA_cd_2020_map_to_52_with_5000_sims.csv,"(1, 665, 92, 430, 140, 2530, 79, 874, 71, 43, 18, 57)",416.6666666666667,2530
1000_ca_results/87546281_CA_cd_2020_map_to_52_with_5000_sims.csv,"(203, 4, 61, 56, 53, 14, 27, 915, 702, 6, 23, 56, 615, 15, 2245, 5)",312.5,2245
1000_ca_results/88338590_CA_cd_2020_map_to_52_with_5000_sims.csv,"(2, 21, 186, 266, 113, 4069, 343)",714.2857142857143,4069
1000_ca_results/8964425_CA_cd_2020_map_to_52_with_5000_sims.csv,"(12, 20, 30, 7, 687, 23, 64, 2925, 1151, 80, 1)",454.54545454545456,2925
1000_ca_results/90629480_CA_cd_2020_map_to_52_with_5000_sims.csv,"(126, 45, 1, 5, 3, 173, 250, 4350, 8, 39)",500.0,4350
1000_ca_results/916670_CA_cd_2020_map_to_52_with_5000_sims.csv,"(5, 16, 5, 25, 8, 45, 5, 25, 141, 10, 4, 73, 4, 69, 30, 2, 3146, 139, 3, 1031, 2, 185, 27)",217.3913043478261,3146
1000_ca_results/92841589_CA_cd_2020_map_to_52_with_5000_sims.csv,"(224, 2, 1, 1, 4738, 28, 6)",714.2857142857143,4738
1000_ca_results/93906742_CA_cd_2020_map_to_52_with_5000_sims.csv,"(4, 540, 20, 2639, 4, 1, 580, 133, 181, 3, 892, 2, 1)",384.61538461538464,2639
1000_ca_results/94811623_CA_cd_2020_map_to_52_with_5000_sims.csv,"(136, 346, 425, 484, 4, 3, 117, 4, 233, 2, 36, 3055, 41, 44, 43, 2, 5, 20)",277.77777777777777,3055
1000_ca_results/9598632_CA_cd_2020_map_to_52_with_5000_sims.csv,"(322, 643, 118, 26, 287, 13, 7, 98, 10, 2, 182, 669, 1508, 1115)",357.14285714285717,1508
1000_ca_results/97000600_CA_cd_2020_map_to_52_with_5000_sims.csv,"(127, 10, 6, 12, 595, 31, 1, 205, 16, 17, 2, 3817, 95, 28, 25, 13)",312.5,3817
1000_ca_results/97857264_CA_cd_2020_map_to_52_with_5000_sims.csv,"(26, 38, 2970, 2, 1847, 117)",833.3333333333334,2970
1000_ca_results/1267480_CA_cd_2020_map_to_52_with_5000_sims.csv,"(29, 32, 63, 68, 2261, 3, 16, 178, 131, 35, 3, 12, 1730, 54, 28, 133, 38, 144, 28, 14)",250.0,2261
1000_ca_results/1273544_CA_cd_2020_map_to_52_with_5000_sims.csv,"(9, 37, 4, 6, 7, 2608, 30, 4, 7, 56, 1661, 178, 26, 3, 9, 36, 6, 4, 17, 5, 287)",238.0952380952381,2608
1000_ca_results/12827094_CA_cd_2020_map_to_52_with_5000_sims.csv,"(11, 257, 2, 407, 85, 2386, 735, 1003, 38, 76)",500.0,2386
1000_ca_results/12828911_CA_cd_2020_map_to_52_with_5000_sims.csv,"(221, 1, 840, 7, 2, 271, 7, 38, 1, 14, 1, 1871, 6, 56, 28, 522, 41, 5, 6, 11, 235, 2, 808, 6)",208.33333333333334,1871
1000_ca_results/12873310_CA_cd_2020_map_to_52_with_5000_sims.csv,"(112, 39, 235, 24, 12, 9, 4, 3618, 9, 362, 4, 76, 6, 35, 3, 1, 14, 329, 101, 7)",250.0,3618
1000_ca_results/12949010_CA_cd_2020_map_to_52_with_5000_sims.csv,"(559, 5, 40, 993, 39, 296, 147, 294, 89, 1044, 370, 91, 1033)",384.61538461538464,1044
1000_ca_results/13216830_CA_cd_2020_map_to_52_with_5000_sims.csv,"(1233, 1033, 2680, 4, 23, 11, 16)",714.2857142857143,2680
1000_ca_results/13450044_CA_cd_2020_map_to_52_with_5000_sims.csv,"(7, 38, 4613, 29, 1, 1, 68, 7, 1, 234, 1)",454.54545454545456,4613
1000_ca_results/13505372_CA_cd_2020_map_to_52_with_5000_sims.csv,"(2, 77, 4, 4869, 5, 37, 1, 4, 1)",555.5555555555555,4869
1000_ca_results/13576958_CA_cd_2020_map_to_52_with_5000_sims.csv,"(8, 50, 3, 3, 20, 205, 5, 437, 87, 37, 46, 27, 1482, 21, 49, 650, 220, 8, 4, 6, 7, 1613, 12)",217.3913043478261,1613
1000_ca_results/13883170_CA_cd_2020_map_to_52_with_5000_sims.csv,"(1792, 2, 1057, 10, 259, 286, 153, 386, 10, 13, 1, 6, 49, 86, 284, 590, 1, 15)",277.77777777777777,1792
1000_ca_results/13887596_CA_cd_2020_map_to_52_with_5000_sims.csv,"(2694, 17, 14, 13, 3, 199, 7, 404, 9, 296, 1000, 40, 281, 3, 20)",333.3333333333333,2694
1000_ca_results/1389355_CA_cd_2020_map_to_52_with_5000_sims.csv,"(53, 2, 3894, 9, 10, 6, 391, 555, 80)",555.5555555555555,3894
1000_ca_results/13957510_CA_cd_2020_map_to_52_with_5000_sims.csv,"(3, 41, 212, 4688, 56)",1000.0,4688
1000_ca_results/13963256_CA_cd_2020_map_to_52_with_5000_sims.csv,"(545, 1, 2, 448, 2558, 3, 4, 636, 13, 180, 57, 1, 27, 525)",357.14285714285717,2558
1000_ca_results/14017061_CA_cd_2020_map_to_52_with_5000_sims.csv,"(5, 110, 5, 4744, 7, 40, 2, 1, 9, 9, 35, 4, 5, 24)",357.14285714285717,4744
