filename,progenitor_descendents_count,mean_descendents,max_descendents
1000_pa_203_results/98108666_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/9812432_PA_to_203_with_5000_sims.csv,"(4975, 25)",2500.0,4975
1000_pa_203_results/98327424_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/9839333_PA_to_203_with_5000_sims.csv,"(4274, 726)",2500.0,4274
1000_pa_203_results/98596733_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/98678420_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/98923734_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/98939096_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/98972888_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/9905406_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/99271715_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/99286482_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/99291045_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/99292676_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/99494762_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/99542840_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/99544214_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/99684520_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/99918696_PA_to_203_with_5000_sims.csv,"(3063, 1937)",2500.0,3063
1000_pa_203_results/10016325_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/10100224_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/10171597_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/10248600_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/1028160_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/10339872_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/10426200_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/10524174_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/10655075_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/10760493_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/10880016_PA_to_203_with_5000_sims.csv,"(3881, 1119)",2500.0,3881
1000_pa_203_results/10918010_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
