File Name,Number Original Ancestors,Mega Parent 0.01,Mega Parent 0.10,Mega Parent 0.25,Mega Parent 0.50,Mega Parent 0.75,Mega Parent 1.00
35582018_CA_cd_2020_map_to_52_with_5000_sims.csv,9,49,44,43,42,-1,-1
94299884_CA_cd_2020_map_to_52_with_5000_sims.csv,22,50,42,37,33,-1,-1
68640645_CA_cd_2020_map_to_52_with_5000_sims.csv,12,50,42,39,39,37,-1
48583584_CA_cd_2020_map_to_52_with_5000_sims.csv,4,50,49,47,33,-1,-1
68729018_CA_cd_2020_map_to_52_with_5000_sims.csv,7,50,45,37,35,26,-1
50633029_CA_cd_2020_map_to_52_with_5000_sims.csv,11,50,48,47,46,43,-1
2283214_CA_cd_2020_map_to_52_with_5000_sims.csv,3,50,48,48,44,43,-1
55694724_CA_cd_2020_map_to_52_with_5000_sims.csv,19,50,46,-1,-1,-1,-1
59287059_CA_cd_2020_map_to_52_with_5000_sims.csv,3,50,39,37,28,28,-1
1028160_CA_cd_2020_map_to_52_with_5000_sims.csv,14,50,45,42,-1,-1,-1
30390361_CA_cd_2020_map_to_52_with_5000_sims.csv,20,50,46,37,-1,-1,-1
31313629_CA_cd_2020_map_to_52_with_5000_sims.csv,8,51,46,44,42,-1,-1
5417921_CA_cd_2020_map_to_52_with_5000_sims.csv,8,50,47,41,18,-1,-1
7435966_CA_cd_2020_map_to_52_with_5000_sims.csv,17,50,48,47,44,-1,-1
52841150_CA_cd_2020_map_to_52_with_5000_sims.csv,11,50,44,43,35,-1,-1
65953075_CA_cd_2020_map_to_52_with_5000_sims.csv,3,50,48,47,46,-1,-1
76938614_CA_cd_2020_map_to_52_with_5000_sims.csv,22,50,46,-1,-1,-1,-1
9548056_CA_cd_2020_map_to_52_with_5000_sims.csv,24,50,45,40,-1,-1,-1
55897720_CA_cd_2020_map_to_52_with_5000_sims.csv,11,50,48,46,41,-1,-1
58020598_CA_cd_2020_map_to_52_with_5000_sims.csv,18,50,47,40,-1,-1,-1
33196979_CA_cd_2020_map_to_52_with_5000_sims.csv,11,50,47,46,24,-1,-1
18115366_CA_cd_2020_map_to_52_with_5000_sims.csv,24,50,48,47,-1,-1,-1
10918010_CA_cd_2020_map_to_52_with_5000_sims.csv,5,50,46,45,44,44,-1
80654594_CA_cd_2020_map_to_52_with_5000_sims.csv,19,50,47,44,35,-1,-1
82060550_CA_cd_2020_map_to_52_with_5000_sims.csv,20,50,37,33,-1,-1,-1
463410_CA_cd_2020_map_to_52_with_5000_sims.csv,7,49,40,36,20,19,-1
64889767_CA_cd_2020_map_to_52_with_5000_sims.csv,14,50,49,48,47,-1,-1
95116839_CA_cd_2020_map_to_52_with_5000_sims.csv,12,50,46,45,28,-1,-1
68832218_CA_cd_2020_map_to_52_with_5000_sims.csv,3,50,45,44,44,44,-1
