File Name,Number Original Ancestors,Mega Parent 0.01,Mega Parent 0.10,Mega Parent 0.25,Mega Parent 0.50,Mega Parent 0.75,Mega Parent 1.00
7726593_ny_vtd_to_63_with_5000_sims.csv,5,61,55,53,51,25,-1
643712_ny_vtd_to_63_with_5000_sims.csv,11,61,59,51,50,-1,-1
45333770_ny_vtd_to_63_with_5000_sims.csv,14,61,58,53,-1,-1,-1
39878929_ny_vtd_to_63_with_5000_sims.csv,13,62,57,53,-1,-1,-1
64450458_ny_vtd_to_63_with_5000_sims.csv,5,61,58,51,47,45,-1
60308744_ny_vtd_to_63_with_5000_sims.csv,11,61,54,46,-1,-1,-1
18115366_ny_vtd_to_63_with_5000_sims.csv,18,61,53,48,-1,-1,-1
54119307_ny_vtd_to_63_with_5000_sims.csv,10,61,59,58,-1,-1,-1
6119547_ny_vtd_to_63_with_5000_sims.csv,11,62,55,54,53,-1,-1
15800000_ny_vtd_to_63_with_5000_sims.csv,5,62,55,50,43,42,-1
67814601_ny_vtd_to_63_with_5000_sims.csv,3,61,53,46,43,16,-1
57512456_ny_vtd_to_63_with_5000_sims.csv,9,61,57,56,37,-1,-1
45117714_ny_vtd_to_63_with_5000_sims.csv,13,61,57,49,-1,-1,-1
48201148_ny_vtd_to_63_with_5000_sims.csv,12,61,56,55,54,45,-1
776880_ny_vtd_to_63_with_5000_sims.csv,7,62,58,54,53,32,-1
62534192_ny_vtd_to_63_with_5000_sims.csv,15,61,57,45,-1,-1,-1
23618000_ny_vtd_to_63_with_5000_sims.csv,7,62,55,54,52,37,-1
92450228_ny_vtd_to_63_with_5000_sims.csv,9,62,61,52,-1,-1,-1
61171182_ny_vtd_to_63_with_5000_sims.csv,13,61,57,-1,-1,-1,-1
76925308_ny_vtd_to_63_with_5000_sims.csv,6,61,58,57,54,54,-1
5479516_ny_vtd_to_63_with_5000_sims.csv,8,61,59,56,53,-1,-1
10100224_ny_vtd_to_63_with_5000_sims.csv,4,60,58,57,52,-1,-1
94602666_ny_vtd_to_63_with_5000_sims.csv,2,61,56,54,44,-1,-1
26228648_ny_vtd_to_63_with_5000_sims.csv,2,62,57,52,25,25,-1
40002121_ny_vtd_to_63_with_5000_sims.csv,13,61,56,54,50,-1,-1
23552072_ny_vtd_to_63_with_5000_sims.csv,2,61,52,48,44,44,-1
60290400_ny_vtd_to_63_with_5000_sims.csv,11,62,60,56,45,-1,-1
10339872_ny_vtd_to_63_with_5000_sims.csv,10,61,50,46,46,-1,-1
71780104_ny_vtd_to_63_with_5000_sims.csv,6,61,55,53,40,-1,-1
24951280_ny_vtd_to_63_with_5000_sims.csv,7,61,59,55,42,29,-1
27629519_ny_vtd_to_63_with_5000_sims.csv,2,61,54,50,49,47,-1
47095_ny_vtd_to_63_with_5000_sims.csv,6,61,58,44,43,37,-1
57731932_ny_vtd_to_63_with_5000_sims.csv,10,61,55,43,-1,-1,-1
84393296_ny_vtd_to_63_with_5000_sims.csv,6,61,56,56,53,41,-1
94433789_ny_vtd_to_63_with_5000_sims.csv,7,61,53,47,32,-1,-1
4198480_ny_vtd_to_63_with_5000_sims.csv,7,61,55,54,52,51,-1
15262360_ny_vtd_to_63_with_5000_sims.csv,5,61,59,58,58,55,-1
92025286_ny_vtd_to_63_with_5000_sims.csv,8,61,60,57,-1,-1,-1
44430696_ny_vtd_to_63_with_5000_sims.csv,13,61,57,47,-1,-1,-1
71230854_ny_vtd_to_63_with_5000_sims.csv,14,61,60,54,-1,-1,-1
8068296_ny_vtd_to_63_with_5000_sims.csv,3,61,59,39,31,-1,-1
39044159_ny_vtd_to_63_with_5000_sims.csv,6,61,58,54,48,-1,-1
21889375_ny_vtd_to_63_with_5000_sims.csv,6,61,58,56,55,45,-1
71859306_ny_vtd_to_63_with_5000_sims.csv,5,61,58,55,28,-1,-1
91512550_ny_vtd_to_63_with_5000_sims.csv,11,61,58,53,47,45,-1
19638698_ny_vtd_to_63_with_5000_sims.csv,11,61,55,55,50,-1,-1
15381034_ny_vtd_to_63_with_5000_sims.csv,9,61,58,53,47,-1,-1
5417921_ny_vtd_to_63_with_5000_sims.csv,10,61,58,57,57,56,-1
33323136_ny_vtd_to_63_with_5000_sims.csv,7,61,57,54,52,50,-1
67355720_ny_vtd_to_63_with_5000_sims.csv,2,61,59,54,35,-1,-1
82000180_ny_vtd_to_63_with_5000_sims.csv,6,61,57,56,50,-1,-1
5149608_ny_vtd_to_63_with_5000_sims.csv,12,61,55,42,-1,-1,-1
52841150_ny_vtd_to_63_with_5000_sims.csv,9,61,59,57,38,-1,-1
3451869_ny_vtd_to_63_with_5000_sims.csv,9,61,57,56,-1,-1,-1
72310534_ny_vtd_to_63_with_5000_sims.csv,14,61,60,58,56,-1,-1
21973560_ny_vtd_to_63_with_5000_sims.csv,6,60,56,55,53,53,-1
53702660_ny_vtd_to_63_with_5000_sims.csv,10,61,58,45,45,23,-1
62044888_ny_vtd_to_63_with_5000_sims.csv,7,61,55,54,-1,-1,-1
82067220_ny_vtd_to_63_with_5000_sims.csv,5,60,58,54,54,54,-1
39691471_ny_vtd_to_63_with_5000_sims.csv,5,61,58,56,55,52,-1
70245195_ny_vtd_to_63_with_5000_sims.csv,8,61,58,56,53,48,-1
30316862_ny_vtd_to_63_with_5000_sims.csv,10,61,53,52,50,-1,-1
4337430_ny_vtd_to_63_with_5000_sims.csv,9,61,59,57,57,50,-1
93500008_ny_vtd_to_63_with_5000_sims.csv,4,62,58,41,33,33,-1
84373958_ny_vtd_to_63_with_5000_sims.csv,7,62,59,51,41,-1,-1
49203944_ny_vtd_to_63_with_5000_sims.csv,13,61,59,59,-1,-1,-1
79462250_ny_vtd_to_63_with_5000_sims.csv,3,61,57,55,46,43,-1
48974554_ny_vtd_to_63_with_5000_sims.csv,14,61,55,45,-1,-1,-1
31339659_ny_vtd_to_63_with_5000_sims.csv,7,62,59,52,51,42,-1
45424016_ny_vtd_to_63_with_5000_sims.csv,12,62,57,41,25,-1,-1
39747984_ny_vtd_to_63_with_5000_sims.csv,6,62,53,49,-1,-1,-1
29988746_ny_vtd_to_63_with_5000_sims.csv,15,61,58,57,51,-1,-1
66827073_ny_vtd_to_63_with_5000_sims.csv,8,61,57,52,-1,-1,-1
62367100_ny_vtd_to_63_with_5000_sims.csv,5,61,56,55,54,54,-1
19113356_ny_vtd_to_63_with_5000_sims.csv,3,62,60,53,50,47,-1
