File Name,Number Original Ancestors,Mega Parent 0.01,Mega Parent 0.10,Mega Parent 0.25,Mega Parent 0.50,Mega Parent 0.75,Mega Parent 1.00
39039510_PA_to_18_with_5000_sims.csv,261,16,-1,-1,-1,-1,-1
62044888_PA_to_18_with_5000_sims.csv,300,15,-1,-1,-1,-1,-1
14519834_PA_to_18_with_5000_sims.csv,290,16,13,-1,-1,-1,-1
75968348_PA_to_18_with_5000_sims.csv,284,16,-1,-1,-1,-1,-1
46150410_PA_to_18_with_5000_sims.csv,272,15,11,-1,-1,-1,-1
75126580_PA_to_18_with_5000_sims.csv,287,16,12,-1,-1,-1,-1
19558701_PA_to_18_with_5000_sims.csv,291,15,-1,-1,-1,-1,-1
14122760_PA_to_18_with_5000_sims.csv,260,16,12,-1,-1,-1,-1
87700829_PA_to_18_with_5000_sims.csv,283,15,-1,-1,-1,-1,-1
28427950_PA_to_18_with_5000_sims.csv,296,15,-1,-1,-1,-1,-1
65953075_PA_to_18_with_5000_sims.csv,289,16,-1,-1,-1,-1,-1
3134348_PA_to_18_with_5000_sims.csv,255,15,-1,-1,-1,-1,-1
47377512_PA_to_18_with_5000_sims.csv,304,15,-1,-1,-1,-1,-1
41886660_PA_to_18_with_5000_sims.csv,262,15,-1,-1,-1,-1,-1
90870752_PA_to_18_with_5000_sims.csv,280,16,-1,-1,-1,-1,-1
57402448_PA_to_18_with_5000_sims.csv,267,16,-1,-1,-1,-1,-1
7536625_PA_to_18_with_5000_sims.csv,303,15,-1,-1,-1,-1,-1
94811623_PA_to_18_with_5000_sims.csv,280,15,-1,-1,-1,-1,-1
5330042_PA_to_18_with_5000_sims.csv,252,15,1,-1,-1,-1,-1
35729440_PA_to_18_with_5000_sims.csv,299,15,-1,-1,-1,-1,-1
44786940_PA_to_18_with_5000_sims.csv,269,15,6,-1,-1,-1,-1
41378719_PA_to_18_with_5000_sims.csv,296,15,-1,-1,-1,-1,-1
2289792_PA_to_18_with_5000_sims.csv,258,15,-1,-1,-1,-1,-1
13883170_PA_to_18_with_5000_sims.csv,257,15,8,-1,-1,-1,-1
39925805_PA_to_18_with_5000_sims.csv,273,16,9,-1,-1,-1,-1
8483720_PA_to_18_with_5000_sims.csv,244,14,10,-1,-1,-1,-1
58020598_PA_to_18_with_5000_sims.csv,275,15,12,-1,-1,-1,-1
7726593_PA_to_18_with_5000_sims.csv,300,15,-1,-1,-1,-1,-1
21902538_PA_to_18_with_5000_sims.csv,240,15,14,13,12,-1,-1
7301690_PA_to_18_with_5000_sims.csv,274,15,-1,-1,-1,-1,-1
3451869_PA_to_18_with_5000_sims.csv,277,15,-1,-1,-1,-1,-1
94470147_PA_to_18_with_5000_sims.csv,299,15,-1,-1,-1,-1,-1
81580087_PA_to_18_with_5000_sims.csv,294,16,4,-1,-1,-1,-1
21356428_PA_to_18_with_5000_sims.csv,253,14,-1,-1,-1,-1,-1
33459004_PA_to_18_with_5000_sims.csv,284,16,-1,-1,-1,-1,-1
31017660_PA_to_18_with_5000_sims.csv,267,15,13,-1,-1,-1,-1
76145200_PA_to_18_with_5000_sims.csv,260,15,-1,-1,-1,-1,-1
32184850_PA_to_18_with_5000_sims.csv,293,16,-1,-1,-1,-1,-1
46268547_PA_to_18_with_5000_sims.csv,264,15,-1,-1,-1,-1,-1
91344435_PA_to_18_with_5000_sims.csv,270,15,9,-1,-1,-1,-1
93708384_PA_to_18_with_5000_sims.csv,276,14,-1,-1,-1,-1,-1
37658692_PA_to_18_with_5000_sims.csv,269,16,-1,-1,-1,-1,-1
29988746_PA_to_18_with_5000_sims.csv,262,15,11,-1,-1,-1,-1
8147366_PA_to_18_with_5000_sims.csv,271,15,-1,-1,-1,-1,-1
11674232_PA_to_18_with_5000_sims.csv,269,14,10,-1,-1,-1,-1
21889375_PA_to_18_with_5000_sims.csv,277,15,-1,-1,-1,-1,-1
598899_PA_to_18_with_5000_sims.csv,288,15,-1,-1,-1,-1,-1
6853846_PA_to_18_with_5000_sims.csv,270,15,-1,-1,-1,-1,-1
51513735_PA_to_18_with_5000_sims.csv,252,15,10,-1,-1,-1,-1
54735365_PA_to_18_with_5000_sims.csv,287,15,-1,-1,-1,-1,-1
93733067_PA_to_18_with_5000_sims.csv,309,15,-1,-1,-1,-1,-1
70201894_PA_to_18_with_5000_sims.csv,196,15,14,9,-1,-1,-1
97210952_PA_to_18_with_5000_sims.csv,271,16,-1,-1,-1,-1,-1
6068640_PA_to_18_with_5000_sims.csv,253,16,9,-1,-1,-1,-1
77584338_PA_to_18_with_5000_sims.csv,276,15,-1,-1,-1,-1,-1
9461053_PA_to_18_with_5000_sims.csv,266,16,-1,-1,-1,-1,-1
97095651_PA_to_18_with_5000_sims.csv,265,16,-1,-1,-1,-1,-1
8964425_PA_to_18_with_5000_sims.csv,205,16,8,6,-1,-1,-1
38194675_PA_to_18_with_5000_sims.csv,286,16,-1,-1,-1,-1,-1
41510504_PA_to_18_with_5000_sims.csv,292,15,-1,-1,-1,-1,-1
55694724_PA_to_18_with_5000_sims.csv,274,15,-1,-1,-1,-1,-1
85203985_PA_to_18_with_5000_sims.csv,292,15,-1,-1,-1,-1,-1
349588_PA_to_18_with_5000_sims.csv,252,15,-1,-1,-1,-1,-1
19638698_PA_to_18_with_5000_sims.csv,273,15,-1,-1,-1,-1,-1
88791199_PA_to_18_with_5000_sims.csv,295,16,-1,-1,-1,-1,-1
19794324_PA_to_18_with_5000_sims.csv,254,15,8,-1,-1,-1,-1
36030463_PA_to_18_with_5000_sims.csv,283,16,-1,-1,-1,-1,-1
37875535_PA_to_18_with_5000_sims.csv,247,16,13,-1,-1,-1,-1
80263448_PA_to_18_with_5000_sims.csv,216,15,7,6,-1,-1,-1
81095850_PA_to_18_with_5000_sims.csv,274,15,7,-1,-1,-1,-1
2368284_PA_to_18_with_5000_sims.csv,319,15,-1,-1,-1,-1,-1
25667134_PA_to_18_with_5000_sims.csv,266,16,-1,-1,-1,-1,-1
33805578_PA_to_18_with_5000_sims.csv,264,15,-1,-1,-1,-1,-1
99918696_PA_to_18_with_5000_sims.csv,298,14,-1,-1,-1,-1,-1
9057488_PA_to_18_with_5000_sims.csv,308,16,-1,-1,-1,-1,-1
78741568_PA_to_18_with_5000_sims.csv,259,16,9,-1,-1,-1,-1
50881052_PA_to_18_with_5000_sims.csv,244,15,9,8,-1,-1,-1
58925669_PA_to_18_with_5000_sims.csv,287,15,-1,-1,-1,-1,-1
49729800_PA_to_18_with_5000_sims.csv,292,15,-1,-1,-1,-1,-1
74097862_PA_to_18_with_5000_sims.csv,269,16,13,-1,-1,-1,-1
7361772_PA_to_18_with_5000_sims.csv,292,16,-1,-1,-1,-1,-1
62486006_PA_to_18_with_5000_sims.csv,267,16,-1,-1,-1,-1,-1
41183520_PA_to_18_with_5000_sims.csv,277,15,-1,-1,-1,-1,-1
66802960_PA_to_18_with_5000_sims.csv,244,15,6,-1,-1,-1,-1
45495644_PA_to_18_with_5000_sims.csv,271,15,-1,-1,-1,-1,-1
47959420_PA_to_18_with_5000_sims.csv,288,15,-1,-1,-1,-1,-1
40367024_PA_to_18_with_5000_sims.csv,252,16,-1,-1,-1,-1,-1
20877708_PA_to_18_with_5000_sims.csv,275,15,-1,-1,-1,-1,-1
18557510_PA_to_18_with_5000_sims.csv,284,15,-1,-1,-1,-1,-1
33598318_PA_to_18_with_5000_sims.csv,271,15,-1,-1,-1,-1,-1
23027648_PA_to_18_with_5000_sims.csv,272,15,9,-1,-1,-1,-1
64450458_PA_to_18_with_5000_sims.csv,270,16,13,-1,-1,-1,-1
91170953_PA_to_18_with_5000_sims.csv,243,15,7,-1,-1,-1,-1
82931548_PA_to_18_with_5000_sims.csv,294,15,13,-1,-1,-1,-1
97203676_PA_to_18_with_5000_sims.csv,301,15,-1,-1,-1,-1,-1
92296764_PA_to_18_with_5000_sims.csv,300,16,12,-1,-1,-1,-1
2283214_PA_to_18_with_5000_sims.csv,278,15,-1,-1,-1,-1,-1
36498924_PA_to_18_with_5000_sims.csv,259,15,8,-1,-1,-1,-1
5015829_PA_to_18_with_5000_sims.csv,239,15,9,-1,-1,-1,-1
84067615_PA_to_18_with_5000_sims.csv,289,15,-1,-1,-1,-1,-1
54196782_PA_to_18_with_5000_sims.csv,269,15,-1,-1,-1,-1,-1
87546281_PA_to_18_with_5000_sims.csv,285,15,-1,-1,-1,-1,-1
66827073_PA_to_18_with_5000_sims.csv,240,16,13,-1,-1,-1,-1
70843459_PA_to_18_with_5000_sims.csv,284,15,-1,-1,-1,-1,-1
25004552_PA_to_18_with_5000_sims.csv,273,15,-1,-1,-1,-1,-1
48842208_PA_to_18_with_5000_sims.csv,274,15,-1,-1,-1,-1,-1
20645286_PA_to_18_with_5000_sims.csv,288,16,-1,-1,-1,-1,-1
73479530_PA_to_18_with_5000_sims.csv,271,15,-1,-1,-1,-1,-1
26449824_PA_to_18_with_5000_sims.csv,307,16,-1,-1,-1,-1,-1
7192472_PA_to_18_with_5000_sims.csv,289,15,-1,-1,-1,-1,-1
28326678_PA_to_18_with_5000_sims.csv,294,15,-1,-1,-1,-1,-1
1463220_PA_to_18_with_5000_sims.csv,296,15,-1,-1,-1,-1,-1
85662161_PA_to_18_with_5000_sims.csv,256,16,14,13,-1,-1,-1
33323136_PA_to_18_with_5000_sims.csv,276,15,-1,-1,-1,-1,-1
2293507_PA_to_18_with_5000_sims.csv,279,14,-1,-1,-1,-1,-1
7886887_PA_to_18_with_5000_sims.csv,305,16,-1,-1,-1,-1,-1
60007748_PA_to_18_with_5000_sims.csv,286,15,-1,-1,-1,-1,-1
30324000_PA_to_18_with_5000_sims.csv,275,16,12,-1,-1,-1,-1
56170448_PA_to_18_with_5000_sims.csv,268,15,-1,-1,-1,-1,-1
14107250_PA_to_18_with_5000_sims.csv,282,16,-1,-1,-1,-1,-1
11812604_PA_to_18_with_5000_sims.csv,264,16,-1,-1,-1,-1,-1
32525627_PA_to_18_with_5000_sims.csv,293,15,-1,-1,-1,-1,-1
43783379_PA_to_18_with_5000_sims.csv,227,16,12,10,-1,-1,-1
59887380_PA_to_18_with_5000_sims.csv,248,15,8,-1,-1,-1,-1
23455704_PA_to_18_with_5000_sims.csv,277,15,-1,-1,-1,-1,-1
96668019_PA_to_18_with_5000_sims.csv,282,15,-1,-1,-1,-1,-1
94306480_PA_to_18_with_5000_sims.csv,283,15,-1,-1,-1,-1,-1
11864076_PA_to_18_with_5000_sims.csv,263,16,11,8,-1,-1,-1
31531712_PA_to_18_with_5000_sims.csv,274,15,-1,-1,-1,-1,-1
114032_PA_to_18_with_5000_sims.csv,286,14,12,-1,-1,-1,-1
